ID_code,target,0,1,2,3,4,5,6,7,8,9
0,0,-0.357036068,-0.17750245,-0.114612243,0.205709978,0.050307697,-0.132152989,0.049606109,-0.171049083,-0.126059661,-0.019536197
1,0,0.257475275,0.031710728,0.140275134,-0.100130011,-0.084229742,0.214329699,-0.023073923,-0.093090607,-0.013114853,-0.111091494
2,0,-0.178684161,0.044640339,-0.267245957,-0.071122186,0.211258001,0.147663888,0.0170925,0.211083373,0.126008839,-0.155860896
3,0,0.192945152,-0.318433153,0.034925134,-0.11070591,0.115335963,0.050114375,-0.004011456,0.004310609,0.070555122,0.144203343
4,0,-0.019815932,-0.152037215,-0.069288765,-0.02980434,0.07025247,0.098898813,-0.128625091,-0.088538097,-0.160909591,-0.142228054
5,0,-0.174681277,0.097748988,0.002920957,-0.213776107,0.123264425,0.045527334,-0.009904984,0.073780496,0.035595405,-0.140682758
6,0,-0.346786901,0.05295061,0.286161336,0.140784002,0.201101894,0.067042893,0.04034344,0.099778561,0.114457761,-0.212841941
7,0,0.120441845,-0.042293951,-0.239790306,0.076355342,-0.197464226,-0.028729352,-0.298150291,0.079078819,0.129537274,-0.046537235
8,0,0.07403703,-0.099518698,-0.036042921,0.014277391,0.111177548,0.011549543,-0.06787707,-0.027127729,0.103103602,-0.108577508
9,0,-0.240889046,0.060192448,0.111536804,-0.286513073,0.056984218,-0.07442171,-0.242647332,0.10119288,0.044852689,0.184323786
10,0,0.105863576,0.165219575,-0.081843807,0.010156708,-0.015153433,0.182490311,-0.116859746,0.018012777,0.136555565,0.161992672
11,0,0.042695539,0.083489965,-0.141763281,-0.142300058,-0.096720399,-0.247286242,-0.05566092,-0.056232489,-0.112471468,0.244631892
12,0,0.018898207,-0.155369614,0.026409057,0.263712134,-0.021323417,-0.160981826,0.030151963,-0.088089618,-0.068612272,-0.005944054
13,0,-0.311738552,-0.03669225,-0.16911039,0.160541229,0.114189702,-0.052947604,-0.104697959,0.035877945,0.105010088,0.08788898
14,0,0.03119916,-0.051633013,0.135086743,0.044821441,-0.02631947,-0.268934736,0.128559964,-0.165921563,0.059885564,-0.23907731
15,0,0.167134566,-0.111564321,0.10823418,-0.187896881,-0.282510322,0.043575678,0.192604877,0.050466401,0.018266623,-0.01256907
16,0,-0.083343827,0.150537924,0.023304905,-0.243142723,0.0094077,-0.13585973,-0.004419841,0.02693515,0.004887038,-0.155340541
17,0,-0.279625296,-0.132307784,-0.144508657,-0.104223198,-0.101341445,0.095198493,0.186498054,0.056230253,-0.16289538,0.07554539
18,0,0.162878219,0.025775845,-0.133270009,-0.141956034,0.181471549,-0.15034335,-0.022521713,0.008101087,0.17120886,-0.057235523
19,0,-0.119784487,0.256543965,-0.084844197,0.070233503,-0.114163246,0.015505621,-0.054449773,0.025746944,-0.13733186,-0.123110325
20,0,0.086652155,-0.00236467,0.011890612,0.304124446,-0.29914921,0.060251761,0.076350445,-0.154841536,0.030616554,-0.032267713
21,0,-0.013460331,-0.013655903,0.247930076,-0.056487838,-0.307143775,0.018635972,-0.208293031,-0.320819657,-0.13049462,-0.00114476
22,0,0.130651319,0.060732415,-0.011861608,0.147071368,-0.036479266,0.075081986,0.051916395,0.038994911,-0.055538713,0.070746756
23,0,-0.033997215,-0.141417011,-0.181739845,-0.198824579,0.149867844,-0.000756959,0.088593865,-0.07468534,0.070465554,0.103808613
24,0,0.122112571,0.009724547,0.001154255,-0.198269879,0.146727035,0.172876533,0.105163618,-0.162738568,-0.03029423,0.1121734
25,0,-0.136617679,0.14761095,0.133288155,-0.022228949,0.192236164,-0.080736097,0.069847813,0.001686467,0.097596181,-0.113626469
26,0,-0.149511601,-0.325071297,0.145824988,0.052869039,0.035218398,-0.030469243,-0.042522793,-0.116202367,-0.030414835,-0.153415463
27,0,0.321560708,-0.290696163,0.07670781,-0.174728308,0.03975646,-0.059366006,0.11714073,-0.047867314,0.002151032,-0.091700335
28,0,-0.120245554,0.051300117,-0.050207405,0.151717512,-0.017503212,-0.15316523,-0.07571123,-0.083226814,-0.055414279,0.119307763
29,0,-0.266161973,-0.204688692,-0.228936112,-0.150326197,-0.070829046,0.194603148,0.078538209,0.12866804,-0.129752737,-0.166079801
30,0,0.085756079,-0.062453568,0.169170268,-0.096773928,-0.212378596,-0.159490747,0.00759812,0.102104638,0.212642712,0.115738358
